                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.11,                0.67113,                 1.1812,                0.90044,                0.82246,                 0.8654,                0.47611,                 1.3752,                0.69904,                 1.4321,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1091,                0.66303,                 1.1592,                0.85439,                0.80803,                0.83311,                0.46894,                 1.3857,                0.69892,                 1.4514,             0.00034108,             0.00034108,             0.00034108
                     37,                  1.097,                0.66279,                 1.1666,                 0.8493,                0.82076,                0.84729,                0.48127,                  1.398,                0.68542,                 1.4766,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.0865,                0.65233,                 1.1561,                0.85978,                0.82256,                0.87356,                 0.4951,                 1.3704,                0.68883,                 1.4377,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.0768,                0.64383,                 1.1475,                0.91568,                0.81544,                0.87355,                0.49089,                 1.3932,                0.68169,                 1.4708,             0.00027508,             0.00027508,             0.00027508
                     40,                  1.072,                0.64016,                 1.1528,                0.84789,                0.81104,                0.85294,                0.48958,                 1.3615,                0.68114,                 1.4357,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.0575,                0.60515,                 1.1425,                0.88285,                 0.7999,                0.84787,                0.47487,                 1.3983,                0.71345,                 1.4724,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.0287,                0.56804,                 1.1339,                0.92948,                0.78629,                0.86297,                0.47799,                 1.3952,                0.69378,                 1.4807,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0122,                0.55594,                 1.1324,                0.86808,                0.78344,                0.84027,                0.47614,                 1.3719,                0.68525,                 1.4553,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.0001,                0.54661,                 1.1208,                0.86259,                0.79488,                0.84266,                0.45989,                 1.3852,                0.69771,                  1.468,             0.00016509,             0.00016509,             0.00016509
                     45,                      1,                0.53976,                 1.1083,                0.88739,                0.79644,                0.83476,                0.46202,                 1.3926,                0.69849,                 1.4797,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.9826,                0.52798,                 1.1081,                0.88419,                0.76347,                0.83578,                0.46633,                 1.3757,                0.67077,                 1.4567,              0.0001211,              0.0001211,              0.0001211
                     47,                0.98483,                0.52771,                 1.1017,                0.90199,                0.75417,                0.84072,                0.47858,                 1.3707,                0.67266,                 1.4587,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.96619,                0.51947,                 1.1014,                 0.8867,                0.77542,                0.83884,                0.47738,                 1.3715,                0.66939,                 1.4588,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.95576,                 0.5144,                 1.0898,                0.82264,                0.80162,                0.82548,                0.46898,                 1.3691,                0.67443,                 1.4573,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.95714,                0.51485,                 1.0909,                0.84427,                0.80859,                0.82715,                0.47026,                 1.3787,                0.67517,                  1.472,             3.3108e-05,             3.3108e-05,             3.3108e-05
